match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
2011-ausopen-1101,2011,ausopen,1101,Rafael Nadal,Marcos Daniel,Retired,1,Men's Singles,Round 1,Rod Laver Arena,A,atpn409,atpd339,ESP,BRA
2011-ausopen-1103,2011,ausopen,1103,Bernard Tomic,Jeremy Chardy,Complete,1,Men's Singles,Round 1,Hisense Arena,B,atpta46,atpca12,AUS,FRA
2011-ausopen-1105,2011,ausopen,1105,John Isner,Florent Serra,Complete,1,Men's Singles,Round 1,Court 6,H,atpi186,atps963,USA,FRA
2011-ausopen-1108,2011,ausopen,1108,Donald Young,Marin Cilic,Complete,2,Men's Singles,Round 1,Show Court 2,D,atpy124,atpc977,USA,CRO
2011-ausopen-1112,2011,ausopen,1112,Juan Ignacio Chela,Michael Llodra,Complete,2,Men's Singles,Round 1,Show Court 2,D,atpc514,atpl428,ARG,FRA
2011-ausopen-1113,2011,ausopen,1113,David Nalbandian,Lleyton Hewitt,Complete,1,Men's Singles,Round 1,Rod Laver Arena,A,atpn301,atph432,ARG,AUS
2011-ausopen-1114,2011,ausopen,1114,Richard Berankis,Marinko Matosevic,Complete,1,Men's Singles,Round 1,Court 6,H,atpbe90,atpme05,LTU,AUS
2011-ausopen-1115,2011,ausopen,1115,Michael Russell,Matthew Ebden,Complete,1,Men's Singles,Round 1,Margaret Court Arena,C,atpr368,atpe690,USA,AUS
2011-ausopen-1116,2011,ausopen,1116,Jarkko Nieminen,David Ferrer,Complete,2,Men's Singles,Round 1,Show Court 3,E,atpn289,atpf401,FIN,ESP
2011-ausopen-1117,2011,ausopen,1117,Robin Soderling,Potito Starace,Complete,1,Men's Singles,Round 1,Margaret Court Arena,C,atpsa49,atps843,SWE,ITA
2011-ausopen-1124,2011,ausopen,1124,Philipp Petzschner,Jo-Wilfried Tsonga,Complete,2,Men's Singles,Round 1,Margaret Court Arena,C,atpp624,atpt786,GER,FRA
2011-ausopen-1126,2011,ausopen,1126,Carsten Ball,Pere Riba,Complete,2,Men's Singles,Round 1,Court 8,J,atpbd59,atpr750,AUS,ESP
2011-ausopen-1127,2011,ausopen,1127,Dudi Sela,Juan Martin Del Potro,Complete,2,Men's Singles,Round 1,Show Court 2,D,atpsc56,atpd683,ISR,ARG
2011-ausopen-1128,2011,ausopen,1128,Grega Zemlja,Marcos Baghdatis,Complete,2,Men's Singles,Round 1,Show Court 3,E,atpz189,atpb837,SLO,CYP
2011-ausopen-1132,2011,ausopen,1132,Karol Beck,Andy Murray,Retired,2,Men's Singles,Round 1,Hisense Arena,B,atpb804,atpmc10,SVK,GBR
2011-ausopen-1133,2011,ausopen,1133,Tomas Berdych,Marco Crugnola,Complete,1,Men's Singles,Round 1,Show Court 2,D,atpba47,atpc968,CZE,ITA
2011-ausopen-1136,2011,ausopen,1136,Frank Dancevic,Richard Gasquet,Complete,2,Men's Singles,Round 1,Court 8,J,atpd499,atpg628,CAN,FRA
2011-ausopen-1138,2011,ausopen,1138,Fabio Fognini,Kei Nishikori,Complete,2,Men's Singles,Round 1,Court 8,J,atpf510,atpn552,ITA,JPN
2011-ausopen-1140,2011,ausopen,1140,Rainer Schuettler,Fernando Verdasco,Complete,2,Men's Singles,Round 1,Show Court 2,D,atps636,atpv306,GER,ESP
2011-ausopen-1144,2011,ausopen,1144,Peter Luczak,Ivan Ljubicic,Complete,2,Men's Singles,Round 1,Margaret Court Arena,C,atpl515,atpl360,AUS,CRO
2011-ausopen-1148,2011,ausopen,1148,Marcel Granollers,Novak Djokovic,Complete,2,Men's Singles,Round 1,Rod Laver Arena,A,atpg710,atpd643,ESP,SRB
2011-ausopen-1149,2011,ausopen,1149,Andy Roddick,Jan Hajek,Complete,1,Men's Singles,Round 1,Hisense Arena,B,atpr485,atph571,USA,CZE
2011-ausopen-1152,2011,ausopen,1152,Simon Greul,Juan Monaco,Complete,2,Men's Singles,Round 1,Court 6,H,atpg511,atpma21,GER,ARG
2011-ausopen-1153,2011,ausopen,1153,Stanislas Wawrinka,Teymuraz Gabashvili,Complete,1,Men's Singles,Round 1,Show Court 3,E,atpw367,atpg681,SUI,RUS
2011-ausopen-1156,2011,ausopen,1156,Thiemo de Bakker,Gael Monfils,Complete,2,Men's Singles,Round 1,Hisense Arena,B,atpd776,atpmc65,NED,FRA
2011-ausopen-1157,2011,ausopen,1157,Mardy Fish,Victor Hanescu,Complete,1,Men's Singles,Round 1,Show Court 3,E,atpf339,atph528,USA,ROU
2011-ausopen-1160,2011,ausopen,1160,Lukasz Kubot,Sam Querrey,Complete,1,Men's Singles,Round 1,Show Court 2,D,atpk540,atpq927,POL,USA
2011-ausopen-1163,2011,ausopen,1163,Yen-Hsun Lu,Gilles Simon,Complete,2,Men's Singles,Round 1,Court 6,H,atpl575,atpsd32,TPE,FRA
2011-ausopen-1164,2011,ausopen,1164,Lukas Lacko,Roger Federer,Complete,2,Men's Singles,Round 1,Rod Laver Arena,A,atpl797,atpf324,SVK,SUI
2011-ausopen-1201,2011,ausopen,1201,Rafael Nadal,Ryan Sweeting,Complete,1,Men's Singles,Round 2,Rod Laver Arena,A,atpn409,atpsg87,ESP,USA
2011-ausopen-1202,2011,ausopen,1202,Bernard Tomic,Feliciano Lopez,Complete,1,Men's Singles,Round 2,Hisense Arena,B,atpta46,atpl397,AUS,ESP
2011-ausopen-1203,2011,ausopen,1203,John Isner,Radek Stepanek,Complete,1,Men's Singles,Round 2,Show Court 3,E,atpi186,atps694,USA,CZE
2011-ausopen-1204,2011,ausopen,1204,Santiago Giraldo,Marin Cilic,Complete,2,Men's Singles,Round 2,Show Court 2,D,atpg725,atpc977,COL,CRO
2011-ausopen-1205,2011,ausopen,1205,Mikhail Youzhny,Blaz Kavcic,Complete,1,Men's Singles,Round 2,Court 6,H,atpy061,atpk834,RUS,SLO
2011-ausopen-1206,2011,ausopen,1206,Milos Raonic,Michael Llodra,Complete,1,Men's Singles,Round 2,Show Court 3,E,atpr975,atpl428,CAN,FRA
2011-ausopen-1207,2011,ausopen,1207,David Nalbandian,Richard Berankis,Retired,2,Men's Singles,Round 2,Show Court 2,D,atpn301,atpbe90,ARG,LTU
2011-ausopen-1208,2011,ausopen,1208,Michael Russell,David Ferrer,Complete,2,Men's Singles,Round 2,Show Court 2,D,atpr368,atpf401,USA,ESP
2011-ausopen-1209,2011,ausopen,1209,Robin Soderling,Gilles Muller,Complete,1,Men's Singles,Round 2,Hisense Arena,B,atpsa49,atpma30,SWE,LUX
2011-ausopen-1212,2011,ausopen,1212,Andreas Seppi,Jo-Wilfried Tsonga,Complete,2,Men's Singles,Round 2,Margaret Court Arena,C,atpsa93,atpt786,ITA,FRA
2011-ausopen-1213,2011,ausopen,1213,Jurgen Melzer,Pere Riba,Complete,1,Men's Singles,Round 2,Court 8,J,atpm762,atpr750,AUT,ESP
2011-ausopen-1214,2011,ausopen,1214,Juan Martin Del Potro,Marcos Baghdatis,Complete,2,Men's Singles,Round 2,Rod Laver Arena,A,atpd683,atpb837,ARG,CYP
2011-ausopen-1215,2011,ausopen,1215,Guillermo Garcia-Lopez,Eduardo Schwank,Complete,1,Men's Singles,Round 2,Court 8,J,atpg476,atpse66,ESP,ARG
2011-ausopen-1216,2011,ausopen,1216,Illya Marchenko,Andy Murray,Complete,2,Men's Singles,Round 2,Margaret Court Arena,C,atpme89,atpmc10,UKR,GBR
2011-ausopen-1217,2011,ausopen,1217,Tomas Berdych,Philipp Kohlschreiber,Complete,1,Men's Singles,Round 2,Margaret Court Arena,C,atpba47,atpk435,CZE,GER
2011-ausopen-1218,2011,ausopen,1218,Adrian Mannarino,Richard Gasquet,Complete,2,Men's Singles,Round 2,Court 8,J,atpme82,atpg628,FRA,FRA
2011-ausopen-1219,2011,ausopen,1219,Florian Mayer,Kei Nishikori,Complete,2,Men's Singles,Round 2,Court 6,H,atpmb02,atpn552,GER,JPN
2011-ausopen-1220,2011,ausopen,1220,Janko Tipsarevic,Fernando Verdasco,Complete,2,Men's Singles,Round 2,Hisense Arena,B,atpt742,atpv306,SRB,ESP
2011-ausopen-1221,2011,ausopen,1221,Nicolas Almagro,Igor Andreev,Complete,1,Men's Singles,Round 2,Show Court 3,E,atpa479,atpa511,ESP,RUS
2011-ausopen-1222,2011,ausopen,1222,Benoit Paire,Ivan Ljubicic,Complete,2,Men's Singles,Round 2,Show Court 2,D,atppd31,atpl360,FRA,CRO
2011-ausopen-1224,2011,ausopen,1224,Ivan Dodig,Novak Djokovic,Complete,2,Men's Singles,Round 2,Hisense Arena,B,atpd646,atpd643,CRO,SRB
2011-ausopen-1225,2011,ausopen,1225,Andy Roddick,Igor Kunitsyn,Complete,1,Men's Singles,Round 2,Rod Laver Arena,A,atpr485,atpk403,USA,RUS
2011-ausopen-1226,2011,ausopen,1226,Robin Haase,Juan Monaco,Complete,1,Men's Singles,Round 2,Court 6,H,atph756,atpma21,NED,ARG
2011-ausopen-1227,2011,ausopen,1227,Stanislas Wawrinka,Grigor Dimitrov,Complete,1,Men's Singles,Round 2,Show Court 2,D,atpw367,atpd875,SUI,BUL
2011-ausopen-1228,2011,ausopen,1228,Frederico Gil,Gael Monfils,Complete,2,Men's Singles,Round 2,Margaret Court Arena,C,atpg717,atpmc65,POR,FRA
2011-ausopen-1229,2011,ausopen,1229,Mardy Fish,Tommy Robredo,Complete,2,Men's Singles,Round 2,Show Court 3,E,atpf339,atpr419,USA,ESP
2011-ausopen-1230,2011,ausopen,1230,Sergiy Stakhovsky,Lukasz Kubot,Complete,1,Men's Singles,Round 2,Court 8,J,atpsc77,atpk540,UKR,POL
2011-ausopen-1232,2011,ausopen,1232,Gilles Simon,Roger Federer,Complete,2,Men's Singles,Round 2,Rod Laver Arena,A,atpsd32,atpf324,FRA,SUI
2011-ausopen-1301,2011,ausopen,1301,Rafael Nadal,Bernard Tomic,Complete,1,Men's Singles,Round 3,Rod Laver Arena,A,atpn409,atpta46,ESP,AUS
2011-ausopen-1302,2011,ausopen,1302,John Isner,Marin Cilic,Complete,2,Men's Singles,Round 3,Margaret Court Arena,C,atpi186,atpc977,USA,CRO
2011-ausopen-1303,2011,ausopen,1303,Mikhail Youzhny,Milos Raonic,Complete,2,Men's Singles,Round 3,Show Court 3,E,atpy061,atpr975,RUS,CAN
2011-ausopen-1304,2011,ausopen,1304,Richard Berankis,David Ferrer,Complete,2,Men's Singles,Round 3,Show Court 2,D,atpbe90,atpf401,LTU,ESP
2011-ausopen-1305,2011,ausopen,1305,Robin Soderling,Jan Hernych,Complete,1,Men's Singles,Round 3,Hisense Arena,B,atpsa49,atph442,SWE,CZE
