match_id,"ElapsedTime","SetNo","P1GamesWon","P2GamesWon","SetWinner","GameNo","GameWinner","PointNumber","PointWinner","PointServer","Speed_KMH","Rally","P1Score","P2Score","P1Momentum","P2Momentum","P1PointsWon","P2PointsWon","P1Ace","P2Ace","P1Winner","P2Winner","P1DoubleFault","P2DoubleFault","P1UnfErr","P2UnfErr","P1NetPoint","P2NetPoint","P1NetPointWon","P2NetPointWon","P1BreakPoint","P2BreakPoint","P1BreakPointWon","P2BreakPointWon","P1FirstSrvIn","P2FirstSrvIn","P1FirstSrvWon","P2FirstSrvWon","P1SecondSrvIn","P2SecondSrvIn","P1SecondSrvWon","P2SecondSrvWon","P1ForcedError","P2ForcedError","History","Speed_MPH","P1BreakPointMissed","P2BreakPointMissed","ServeIndicator","Serve_Direction","Winner_FH","Winner_BH","ServingTo","P1TurningPoint","P2TurningPoint"
2011-usopen-1101,00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000,0,0,0,0,0,0,0,0,0,0
2011-usopen-1101,0:00:00,1,0,0,0,1,0,1,1,1,194,1,15,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14000,121,0,0,1,2,0,0,d,0,0
2011-usopen-1101,0:00:20,1,0,0,0,1,0,2,1,1,193,7,30,0,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,22020,120,0,0,1,2,0,0,a,0,0
2011-usopen-1101,0:00:51,1,0,0,0,1,0,3,1,1,144,3,40,0,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22020,90,0,0,1,2,0,0,d,0,0
2011-usopen-1101,0:01:25,1,0,0,0,1,0,4,2,1,143,4,40,15,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11030,89,0,0,1,2,0,0,a,0,0
2011-usopen-1101,0:02:10,1,1,0,0,1,1,5,1,1,193,1,0,0,10,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13000,120,0,0,2,3,0,0,d,1,0
2011-usopen-1101,0:02:58,1,1,0,0,2,0,6,1,2,0,0,15,0,11,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,2,0,0,0,d,6,2
2011-usopen-1101,0:03:26,1,1,0,0,2,0,7,1,2,138,10,30,0,12,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22020,86,0,0,2,2,0,0,a,0,0
2011-usopen-1101,0:04:12,1,1,0,0,2,0,8,1,2,138,4,40,0,13,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21020,86,0,0,2,2,0,0,d,8,0
2011-usopen-1101,0:04:49,1,2,0,0,2,1,9,1,2,141,6,0,0,18,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,21522,88,0,0,1,2,0,0,a,0,2
2011-usopen-1101,0:05:45,1,2,0,0,3,0,10,1,1,185,1,15,0,20,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,21030,115,0,0,1,2,0,0,d,0,0
