match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint
2012-ausopen-1101,0:00:00,1,0,0,0,1,0,1,1,1,188,,15,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,116,0,0,1,,,,,,
2012-ausopen-1101,0:00:21,1,0,0,0,1,0,2,1,1,167,,30,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,103,0,0,1,,,,,,
2012-ausopen-1101,0:01:59,1,0,0,0,1,0,3,1,1,161,,40,0,7,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11410,100,0,0,1,,,,,,
2012-ausopen-1101,0:02:51,1,0,0,0,1,0,4,2,1,141,,40,15,5,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,87,0,0,1,,,,,,
2012-ausopen-1101,0:03:30,1,0,0,0,1,0,5,2,1,192,,40,30,5,5,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,119,0,0,1,,,,,,
2012-ausopen-1101,0:04:00,1,1,0,0,1,1,6,1,1,193,,0,0,10,5,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,14000,120,0,0,2,,,,,,
2012-ausopen-1101,0:05:01,1,1,0,0,2,0,7,1,2,176,,15,0,11,3,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,22420,109,0,0,2,,,,,,
2012-ausopen-1101,0:05:29,1,1,0,0,2,0,8,1,2,171,,30,0,14,3,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,106,0,0,2,,,,,,
2012-ausopen-1101,0:06:17,1,1,0,0,2,0,9,2,2,185,,30,15,13,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,115,0,0,2,,,,,S,
2012-ausopen-1101,0:06:41,1,1,0,0,2,0,10,2,2,171,,30,30,12,7,6,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,12030,106,0,0,2,,,,,,
2012-ausopen-1101,0:07:11,1,1,0,0,2,0,11,1,2,163,,40,30,13,5,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,101,0,0,2,,,,,,
2012-ausopen-1101,0:08:10,1,1,0,0,2,0,12,2,2,181,,40,40,12,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,11030,112,1,0,2,,,,,,
2012-ausopen-1101,0:08:35,1,1,0,0,2,0,13,2,2,183,,40,AD,11,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,113,0,0,2,,,,,,
2012-ausopen-1101,0:08:59,1,1,1,0,2,2,14,2,2,187,,0,0,10,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12032,116,0,0,1,,,,,,
2012-ausopen-1101,0:09:45,1,1,1,0,3,0,15,1,1,149,,15,0,13,13,8,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11410,92,0,0,1,,,,,,M
2012-ausopen-1101,0:10:23,1,1,1,0,3,0,16,2,1,137,,15,15,12,15,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,85,0,0,1,,,,,,
2012-ausopen-1101,0:11:11,1,1,1,0,3,0,17,2,1,132,,15,30,11,17,8,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,11030,82,0,0,1,,,,,,
2012-ausopen-1101,0:12:00,1,1,1,0,3,0,18,2,1,0,,15,40,7,18,8,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,
2012-ausopen-1101,0:12:45,1,1,1,0,3,0,19,1,1,184,,30,40,9,17,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,22030,114,0,1,1,,,,,,
2012-ausopen-1101,0:13:15,1,1,2,0,3,2,20,2,1,141,,0,0,5,23,9,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,11022,87,0,1,2,,,,,,
2012-ausopen-1101,0:14:59,1,1,2,0,4,0,21,1,2,0,,15,0,6,19,10,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,25000,0,0,0,2,,,,,,M
2012-ausopen-1101,0:15:29,1,1,2,0,4,0,22,1,2,0,,30,0,7,17,11,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,0,0,0,2,,,,,,
2012-ausopen-1101,0:16:15,1,1,2,0,4,0,23,1,2,169,,40,0,8,15,12,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,105,0,0,2,,,,,,
2012-ausopen-1101,0:16:41,1,2,2,0,4,1,24,1,2,121,,0,0,14,12,13,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,22032,75,1,0,1,,,,,,M
2012-ausopen-1101,0:17:40,1,2,2,0,5,0,25,2,1,139,,0,15,12,13,13,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,86,0,0,1,,,,,,
2012-ausopen-1101,0:18:21,1,2,2,0,5,0,26,1,1,135,,15,15,14,12,14,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,22030,83,0,0,1,,,,,,
