match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint
2012-frenchopen-1101,0:00:00,1,0,0,0,1,0,1,2,1,135,,0,15,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,83,0,0,1,,,,,,
2012-frenchopen-1101,0:00:36,1,0,0,0,1,0,2,1,1,196,,15,15,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,121,0,0,1,,,,,,
2012-frenchopen-1101,0:00:59,1,0,0,0,1,0,3,1,1,187,,30,15,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,116,0,0,1,,,,,,
2012-frenchopen-1101,0:01:19,1,0,0,0,1,0,4,1,1,196,,40,15,8,2,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,12010,121,0,0,1,,,,,,
2012-frenchopen-1101,0:01:42,1,0,0,0,1,0,5,2,1,169,,40,30,6,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,12020,105,0,0,1,,,,,,
2012-frenchopen-1101,0:02:24,1,1,0,0,1,1,6,1,1,201,,0,0,11,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11012,124,0,0,2,,,,,,
2012-frenchopen-1101,0:03:22,1,1,0,0,2,0,7,2,2,174,,0,15,10,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,108,0,0,2,,,,,,
2012-frenchopen-1101,0:03:40,1,1,0,0,2,0,8,1,2,133,,15,15,11,3,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,82,0,0,2,,,,,,
2012-frenchopen-1101,0:04:13,1,1,0,0,2,0,9,2,2,148,,15,30,10,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,92,0,0,2,,,,,,
2012-frenchopen-1101,0:05:34,1,1,0,0,2,0,10,2,2,162,,15,40,9,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,100,0,0,2,,,,,,
2012-frenchopen-1101,0:05:56,1,1,1,0,2,2,11,2,2,172,,0,0,8,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12032,106,0,0,1,,,,,,
2012-frenchopen-1101,0:06:31,1,1,1,0,3,0,12,1,1,198,,15,0,11,11,6,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11010,123,0,0,1,,,,,,
2012-frenchopen-1101,0:06:55,1,1,1,0,3,0,13,1,1,199,,30,0,13,10,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,123,0,0,1,,,,,,
2012-frenchopen-1101,0:07:16,1,1,1,0,3,0,14,2,1,0,,30,15,11,11,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,0,0,0,1,,,,,,
2012-frenchopen-1101,0:07:57,1,1,1,0,3,0,15,1,1,198,,40,15,14,11,8,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11510,123,0,0,1,,,,,,
2012-frenchopen-1101,0:08:24,1,2,1,0,3,1,16,1,1,194,,0,0,18,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22032,120,0,0,2,,,,,,
2012-frenchopen-1101,0:10:17,1,2,1,0,4,0,17,2,2,155,,0,15,17,12,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,96,0,0,2,,,,,,
2012-frenchopen-1101,0:10:55,1,2,1,0,4,0,18,2,2,129,,0,30,16,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,80,0,0,2,,,,,,
2012-frenchopen-1101,0:11:24,1,2,1,0,4,0,19,2,2,174,,0,40,16,17,9,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,108,0,0,2,,,,,,
2012-frenchopen-1101,0:11:57,1,2,1,0,4,0,20,1,2,164,,15,40,17,15,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,101,0,0,2,,,,,,
2012-frenchopen-1101,0:12:20,1,2,1,0,4,0,21,1,2,141,,30,40,19,14,11,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,21030,87,0,0,2,,,,,,
2012-frenchopen-1101,0:13:28,1,2,2,0,4,2,22,2,2,182,,0,0,19,20,11,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,113,0,0,1,,,,,,
2012-frenchopen-1101,0:14:05,1,2,2,0,5,0,23,2,1,186,,0,15,17,21,11,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,115,0,0,1,,,,,,
2012-frenchopen-1101,0:14:32,1,2,2,0,5,0,24,1,1,146,,15,15,20,21,12,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,90,0,0,1,,,,,,
2012-frenchopen-1101,0:14:56,1,2,2,0,5,0,25,1,1,177,,30,15,22,20,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,110,0,0,1,,,,,,
2012-frenchopen-1101,0:15:29,1,2,2,0,5,0,26,2,1,139,,30,30,20,21,13,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,86,0,0,1,,,,,,
2012-frenchopen-1101,0:16:06,1,2,2,0,5,0,27,1,1,198,,40,30,22,20,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,123,0,0,1,,,,,,
2012-frenchopen-1101,0:16:39,1,2,2,0,5,0,28,2,1,157,,40,40,20,21,14,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,97,0,0,1,,,,,,
2012-frenchopen-1101,0:17:48,1,2,2,0,5,0,29,1,1,190,,AD,40,24,21,15,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,118,0,0,1,,,,,,
