match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint
2012-wimbledon-1101,0:00:00,1,0,0,0,1,0,1,1,1,194,,15,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,12010,121,0,0,1,,,,,,
2012-wimbledon-1101,0:00:23,1,0,0,0,1,0,2,1,1,168,,30,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,105,0,0,1,,,,,,
2012-wimbledon-1101,0:00:51,1,0,0,0,1,0,3,1,1,189,,40,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,118,0,0,1,,,,,,
2012-wimbledon-1101,0:01:16,1,1,0,0,1,1,4,1,1,191,,0,0,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032,119,0,0,2,,,,,,
2012-wimbledon-1101,0:01:57,1,1,0,0,2,0,5,1,2,170,,15,0,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,106,0,0,2,,,,,,
2012-wimbledon-1101,0:02:27,1,1,0,0,2,0,6,2,2,178,,15,15,13,4,5,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,21010,111,0,0,2,,,,,,
2012-wimbledon-1101,0:03:05,1,1,0,0,2,0,7,2,2,0,,15,30,13,7,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,24000,0,0,0,2,,,,,,
2012-wimbledon-1101,0:03:18,1,1,0,0,2,0,8,2,2,173,,15,40,11,8,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,108,0,0,2,,,,,,
2012-wimbledon-1101,0:03:58,1,1,1,0,2,2,9,2,2,170,,0,0,10,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11032,106,0,0,1,,,,,,
2012-wimbledon-1101,0:04:34,1,1,1,0,3,0,10,1,1,186,,15,0,13,12,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,14000,116,0,0,1,,,,,,S
2012-wimbledon-1101,0:04:52,1,1,1,0,3,0,11,1,1,186,,30,0,15,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,116,0,0,1,,,,,,
2012-wimbledon-1101,0:05:10,1,1,1,0,3,0,12,2,1,199,,30,15,13,12,7,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,11520,124,0,0,1,,,,,,
2012-wimbledon-1101,0:05:39,1,1,1,0,3,0,13,2,1,149,,30,30,12,14,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,93,0,0,1,,,,,,
2012-wimbledon-1101,0:06:15,1,1,1,0,3,0,14,2,1,0,,30,40,10,15,7,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,11020,0,0,0,1,,,,,,
2012-wimbledon-1101,0:06:47,1,1,1,0,3,0,15,1,1,202,,40,40,12,14,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,22030,126,0,1,1,,,,,,
2012-wimbledon-1101,0:07:08,1,1,1,0,3,0,16,2,1,0,,40,AD,8,15,8,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,
2012-wimbledon-1101,0:07:41,1,1,1,0,3,0,17,1,1,146,,40,40,9,13,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,22020,91,0,1,1,,,,,,
2012-wimbledon-1101,0:08:29,1,1,1,0,3,0,18,2,1,181,,40,AD,7,14,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,113,0,0,1,,,,,,
2012-wimbledon-1101,0:09:21,1,1,1,0,3,0,19,1,1,191,,40,40,10,14,10,9,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,,,,,,,,,,12410,119,0,1,1,,,,,,
2012-wimbledon-1101,0:09:51,1,1,1,0,3,0,20,1,1,191,,AD,40,13,14,11,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,119,0,0,1,,,,,,
