match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint
2013-usopen-1101,0:00:00,1,0,0,0,1,0,1,2,1,191,,0,15,,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,21010,119,0,0,1,,,,,,
2013-usopen-1101,0:00:41,1,0,0,0,1,0,2,1,1,193,,15,15,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,120,0,0,1,,,,,,
2013-usopen-1101,0:01:00,1,0,0,0,1,0,3,1,1,193,,30,15,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,120,0,0,1,,,,,,
2013-usopen-1101,0:01:19,1,0,0,0,1,0,4,1,1,175,,40,15,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,109,0,0,1,,,,,,
2013-usopen-1101,0:01:46,1,1,0,0,1,1,5,1,1,178,,0,0,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032,111,0,0,2,,,,,,
2013-usopen-1101,0:02:30,1,1,0,0,2,0,6,1,2,189,,15,0,,,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,21030,118,0,0,2,,,,,,
2013-usopen-1101,0:02:56,1,1,0,0,2,0,7,1,2,191,,30,0,,,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,22020,119,0,0,2,,,,,,
2013-usopen-1101,0:03:26,1,1,0,0,2,0,8,1,2,154,,40,0,,,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11410,96,0,0,2,,,,,,
2013-usopen-1101,0:04:06,1,2,0,0,2,1,9,1,2,154,,0,0,,,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,21032,96,1,0,1,,,,,,
2013-usopen-1101,0:04:58,1,2,0,0,3,0,10,1,1,173,,15,0,,,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,108,0,0,1,,,,,,
