match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType
2014-ausopen-1101,0:00:00,1,0,0,0,1,0,1,2,2,202,,0,15,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,24000,125,0,0,2,,,,,,,,,
2014-ausopen-1101,0:00:18,1,0,0,0,1,0,2,1,2,142,,15,15,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,88,0,0,2,,,,,,,,,
2014-ausopen-1101,0:01:06,1,0,0,0,1,0,3,2,2,178,,15,30,,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,110,0,0,2,,,,,,,,,
2014-ausopen-1101,0:01:29,1,0,0,0,1,0,4,2,2,199,,15,40,,,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,123,0,0,2,,,,,,,,,
2014-ausopen-1101,0:01:55,1,0,0,0,1,0,5,1,2,210,,30,40,,,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,12010,130,0,0,2,,,,,,,,,
2014-ausopen-1101,0:02:20,1,0,1,0,1,2,6,2,2,196,,0,0,,,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,121,0,0,1,,,,,,,,,
2014-ausopen-1101,0:03:49,1,0,1,0,2,0,7,2,1,0,,0,15,,,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,,,,
2014-ausopen-1101,0:04:26,1,0,1,0,2,0,8,1,1,139,,15,15,,,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,86,0,0,1,,,,,,,,,
2014-ausopen-1101,0:05:05,1,0,1,0,2,0,9,1,1,188,,30,15,,,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,116,0,0,1,,,,,,,,,
2014-ausopen-1101,0:05:45,1,0,1,0,2,0,10,1,1,161,,40,15,,,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,100,0,0,1,,,,,,,,,
2014-ausopen-1101,0:06:06,1,1,1,0,2,1,11,1,1,199,,0,0,,,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032,123,0,0,2,,,,,,,,,
2014-ausopen-1101,0:06:35,1,1,1,0,3,0,12,2,2,170,,0,15,,,6,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,21010,105,0,0,2,,,,,,,,,
2014-ausopen-1101,0:07:26,1,1,1,0,3,0,13,2,2,146,,0,30,,,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,90,0,0,2,,,,,,,,,
2014-ausopen-1101,0:07:54,1,1,1,0,3,0,14,2,2,170,,0,40,,,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,105,0,0,2,,,,,,,,,
2014-ausopen-1101,0:08:21,1,1,2,0,3,2,15,2,2,200,,0,0,,,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11032,124,0,0,1,,,,,,,,,
2014-ausopen-1101,0:13:11,1,1,2,0,4,0,16,1,1,155,,15,0,,,7,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11410,96,0,0,1,,,,,,,,,
2014-ausopen-1101,0:14:09,1,1,2,0,4,0,17,1,1,203,,30,0,,,8,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,126,0,0,1,,,,,,,,,
2014-ausopen-1101,0:14:30,1,1,2,0,4,0,18,1,1,192,,40,0,,,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,119,0,0,1,,,,,,,,,
2014-ausopen-1101,0:14:49,1,2,2,0,4,1,19,1,1,173,,0,0,,,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22032,107,0,0,2,,,,,,,,,
2014-ausopen-1101,0:15:18,1,2,2,0,5,0,20,2,2,169,,0,15,,,10,10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,22010,105,0,0,2,,,,,,,,,
2014-ausopen-1101,0:15:38,1,2,2,0,5,0,21,2,2,196,,0,30,,,10,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,121,0,0,2,,,,,,,,,
2014-ausopen-1101,0:15:56,1,2,2,0,5,0,22,2,2,162,,0,40,,,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,100,0,0,2,,,,,,,,,
2014-ausopen-1101,0:16:41,1,2,2,0,5,0,23,1,2,200,,15,40,,,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,124,0,0,2,,,,,,,,,
2014-ausopen-1101,0:17:01,1,2,2,0,5,0,24,1,2,145,,30,40,,,12,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,90,0,0,2,,,,,,,,,
2014-ausopen-1101,0:17:41,1,2,3,0,5,2,25,2,2,197,,0,0,,,12,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21012,122,0,0,1,,,,,,,,,
2014-ausopen-1101,0:19:41,1,2,3,0,6,0,26,1,1,186,,15,0,,,13,13,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11510,115,0,0,1,,,,,,,,,
2014-ausopen-1101,0:20:17,1,2,3,0,6,0,27,2,1,161,,15,15,,,13,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22010,100,0,0,1,,,,,,,,,
2014-ausopen-1101,0:20:43,1,2,3,0,6,0,28,1,1,184,,30,15,,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,114,0,0,1,,,,,,,,,
2014-ausopen-1101,0:21:06,1,2,3,0,6,0,29,1,1,145,,40,15,,,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,90,0,0,1,,,,,,,,,
2014-ausopen-1101,0:21:42,1,2,3,0,6,0,30,2,1,183,,40,30,,,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,113,0,0,1,,,,,,,,,
2014-ausopen-1101,0:22:21,1,3,3,0,6,1,31,1,1,192,,0,0,,,16,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,22032,119,0,0,2,,,,,,,,,
2014-ausopen-1101,0:22:58,1,3,3,0,7,0,32,2,2,168,,0,15,,,16,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,104,0,0,2,,,,,,,,,
2014-ausopen-1101,0:23:25,1,3,3,0,7,0,33,2,2,170,,0,30,,,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,105,0,0,2,,,,,,,,,
2014-ausopen-1101,0:23:45,1,3,3,0,7,0,34,1,2,167,,15,30,,,17,17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,11010,103,0,0,2,,,,,,,,,
2014-ausopen-1101,0:24:08,1,3,3,0,7,0,35,2,2,183,,15,40,,,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,113,0,0,2,,,,,,,,,
2014-ausopen-1101,0:24:27,1,3,3,0,7,0,36,1,2,0,,30,40,,,18,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,25000,0,0,0,2,,,,,,,,,
2014-ausopen-1101,0:24:59,1,3,4,0,7,2,37,2,2,140,,0,0,,,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11032,87,0,0,1,,,,,,,,,
2014-ausopen-1101,0:27:11,1,3,4,0,8,0,38,1,1,134,,15,0,,,19,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,83,0,0,1,,,,,,,,,
2014-ausopen-1101,0:27:57,1,3,4,0,8,0,39,2,1,138,,15,15,,,19,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,85,0,0,1,,,,,,,,,
2014-ausopen-1101,0:28:42,1,3,4,0,8,0,40,1,1,179,,30,15,,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,111,0,0,1,,,,,,,,,
2014-ausopen-1101,0:29:05,1,3,4,0,8,0,41,2,1,153,,30,30,,,20,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,12030,95,0,0,1,,,,,,,,,
2014-ausopen-1101,0:30:01,1,3,4,0,8,0,42,1,1,170,,40,30,,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,105,0,0,1,,,,,,,,,
2014-ausopen-1101,0:30:28,1,4,4,0,8,1,43,1,1,161,,0,0,,,22,21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,21032,100,0,0,2,,,,,,,,,
2014-ausopen-1101,0:31:16,1,4,4,0,9,0,44,1,2,205,,15,0,,,23,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,127,0,0,2,,,,,,,,,
2014-ausopen-1101,0:31:49,1,4,4,0,9,0,45,2,2,144,,15,15,,,23,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,89,0,0,2,,,,,,,,,
2014-ausopen-1101,0:32:21,1,4,4,0,9,0,46,1,2,141,,30,15,,,24,22,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11010,87,0,0,2,,,,,,,,,
2014-ausopen-1101,0:33:13,1,4,4,0,9,0,47,2,2,180,,30,30,,,24,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,111,0,0,2,,,,,,,,,
2014-ausopen-1101,0:33:45,1,4,4,0,9,0,48,1,2,203,,40,30,,,25,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,126,0,0,2,,,,,,,,,
2014-ausopen-1101,0:34:24,1,5,4,0,9,1,49,1,2,144,,0,0,,,26,23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,21022,89,1,0,1,,,,,,,,,
2014-ausopen-1101,0:36:45,1,5,4,0,10,0,50,2,1,148,,0,15,,,26,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,92,0,0,1,,,,,,,,,
2014-ausopen-1101,0:37:43,1,5,4,0,10,0,51,1,1,188,,15,15,,,27,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,116,0,0,1,,,,,,,,,
2014-ausopen-1101,0:38:05,1,5,4,0,10,0,52,1,1,185,,30,15,,,28,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,115,0,0,1,,,,,,,,,
2014-ausopen-1101,0:38:29,1,5,4,0,10,0,53,1,1,138,,40,15,,,29,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,85,0,0,1,,,,,,,,,
2014-ausopen-1101,0:39:24,1,6,4,1,10,1,54,1,1,135,,0,0,,,30,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22023,83,0,0,2,,,,,,,,,
2014-ausopen-1102,0:00:00,1,0,0,0,1,0,1,1,1,195,,15,0,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,121,0,0,1,,,,,,,,,
2014-ausopen-1102,0:00:17,1,0,0,0,1,0,2,1,1,204,,30,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,126,0,0,1,,,,,,,,,
2014-ausopen-1102,0:00:35,1,0,0,0,1,0,3,1,1,190,,40,0,,,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,118,0,0,1,,,,,,,,,
2014-ausopen-1102,0:01:05,1,0,0,0,1,0,4,2,1,0,,40,15,,,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,,,,
2014-ausopen-1102,0:01:33,1,0,0,0,1,0,5,2,1,147,,40,30,,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,91,0,0,1,,,,,,,,,
2014-ausopen-1102,0:02:18,1,1,0,0,1,1,6,1,1,197,,0,0,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032,122,0,0,2,,,,,,,,,
2014-ausopen-1102,0:03:00,1,1,0,0,2,0,7,1,2,145,,15,0,,,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,90,0,0,2,,,,,,,,,
2014-ausopen-1102,0:03:24,1,1,0,0,2,0,8,2,2,153,,15,15,,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,95,0,0,2,,,,,,,,,
2014-ausopen-1102,0:03:54,1,1,0,0,2,0,9,2,2,185,,15,30,,,5,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,21010,115,0,0,2,,,,,,,,,
2014-ausopen-1102,0:04:13,1,1,0,0,2,0,10,1,2,142,,30,30,,,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,88,0,0,2,,,,,,,,,
2014-ausopen-1102,0:04:46,1,1,0,0,2,0,11,1,2,181,,40,30,,,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,112,0,0,2,,,,,,,,,
2014-ausopen-1102,0:05:07,1,1,0,0,2,0,12,2,2,152,,40,40,,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,12030,94,1,0,2,,,,,,,,,
2014-ausopen-1102,0:05:47,1,1,0,0,2,0,13,2,2,176,,40,AD,,,7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,109,0,0,2,,,,,,,,,
