match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2,nation_partner1,nation_partner2
2018-ausopen-MD101,2018,ausopen,MD101,L. Kubot,P. Lorenzi,,,,,,,,,POL,ITA,M. Melo,M. Zverev,BRA,GER
2018-ausopen-MD102,2018,ausopen,MD102,M. Elgin,M. Purcell,,,,,,,,,RUS,AUS,A. Rublev,L. Saville,RUS,AUS
2018-ausopen-MD103,2018,ausopen,MD103,F. Fognini,A. Bolt,,,,,,,,,ITA,AUS,M. Granollers,B. Mousley,ESP,AUS
2018-ausopen-MD104,2018,ausopen,MD104,M. Copil,R. Ram,,,,,,,,,ROU,USA,V. Troicki,D. Sharan,SRB,IND
2018-ausopen-MD105,2018,ausopen,MD105,F. Lopez,F. Mergea,,,,,,,,,ESP,ROU,M. Lopez,N. Zimonjic,ESP,SRB
2018-ausopen-MD106,2018,ausopen,MD106,B. Mclachlan,T. Kokkinakis,,,,,,,,,JPN,AUS,J. Struff,J. Thompson,GER,AUS
2018-ausopen-MD107,2018,ausopen,MD107,P. Carreno Busta,R. Haase,,,,,,,,,ESP,NED,G. Garcia-Lopez,M. Middelkoop,ESP,NED
2018-ausopen-MD108,2018,ausopen,MD108,S. Lipsky,R. Klaasen,,,,,,,,,USA,RSA,D. Marrero,M. Venus,ESP,NZL
2018-ausopen-MD109,2018,ausopen,MD109,P. Herbert,M. Ebden,,,,,,,,,FRA,AUS,N. Mahut,J. Millman,FRA,AUS
2018-ausopen-MD110,2018,ausopen,MD110,G. Pella,H. Podlipnik-Castillo,,,,,,,,,ARG,CHI,D. Schwartzman,A. Vasilevski,ARG,BLR
2018-ausopen-MD111,2018,ausopen,MD111,A. Shamasdin,M. Daniell,,,,,,,,,CAN,NZL,N. Skupski,D. Inglot,GBR,GBR
2018-ausopen-MD112,2018,ausopen,MD112,H. Nys,S. Gonzalez,,,,,,,,,FRA,MEX,B. Paire,J. Peralta,FRA,CHI
2018-ausopen-MD113,2018,ausopen,MD113,R. Bopanna,R. Harrison,,,,,,,,,IND,USA,E. Roger-Vasselin,V. Pospisil,FRA,CAN
2018-ausopen-MD114,2018,ausopen,MD114,J. Cerretani,L. Mayer,,,,,,,,,USA,ARG,K. Skupski,J. Sousa,GBR,POR
2018-ausopen-MD115,2018,ausopen,MD115,P. Gojowczyk,W. Koolhof,,,,,,,,,GER,NED,F. Mayer,A. Sitak,GER,NZL
2018-ausopen-MD116,2018,ausopen,MD116,F. Delbonis,O. Marach,,,,,,,,,ARG,AUT,V. Estrella Burgos,M. Pavic,DOM,CRO
2018-ausopen-MD117,2018,ausopen,MD117,J. Murray,F. Tiafoe,,,,,,,,,GBR,USA,B. Soares,D. Young,BRA,USA
2018-ausopen-MD118,2018,ausopen,MD118,L. Paes,N. Basilashvili,,,,,,,,,IND,GEO,P. Raja,A. Haider-Maurer,IND,AUT
2018-ausopen-MD119,2018,ausopen,MD119,J. Benneteau,N. Mektic,,,,,,,,,FRA,CRO,J. Eysseric,A. Peya,FRA,AUT
2018-ausopen-MD120,2018,ausopen,MD120,M. Polmans,J. Cabal,,,,,,,,,AUS,COL,A. Whittington,R. Farah,AUS,COL
2018-ausopen-MD121,2018,ausopen,MD121,I. Dodig,S. Johnson,,,,,,,,,CRO,USA,F. Verdasco,S. Querrey,ESP,USA
2018-ausopen-MD122,2018,ausopen,MD122,P. Andujar,S. Ratiwatana,,,,,,,,,ESP,THA,A. Ramos-Vinolas,S. Ratiwatana,ESP,THA
2018-ausopen-MD123,2018,ausopen,MD123,D. Istomin,S. Groth,,,,,,,,,UZB,AUS,M. Kukushkin,L. Hewitt,KAZ,AUS
2018-ausopen-MD124,2018,ausopen,MD124,G. Duran,J. Rojer,,,,,,,,,ARG,NED,A. Molteni,H. Tecau,ARG,ROU
2018-ausopen-MD125,2018,ausopen,MD125,B. Bryan,M. Fucsovics,,,,,,,,,USA,HUN,M. Bryan,Y. Nishioka,USA,JPN
2018-ausopen-MD126,2018,ausopen,MD126,T. Fabbiano,M. Mirnyi,,,,,,,,,ITA,BLR,D. Sela,P. Oswald,ISR,AUT
2018-ausopen-MD127,2018,ausopen,MD127,N. Monroe,N. Kyrgios,,,,,,,,,USA,AUS,J. Smith,M. Reid,AUS,AUS
2018-ausopen-MD128,2018,ausopen,MD128,J. Chardy,P. Cuevas,,,,,,,,,FRA,URU,F. Martin,H. Zeballos,FRA,ARG
2018-ausopen-MD129,2018,ausopen,MD129,M. Matkowski,M. Demoliner,,,,,,,,,POL,BRA,A. Qureshi,T. Huey,PAK,PHI
2018-ausopen-MD130,2018,ausopen,MD130,R. Jebavy,R. Lindstedt,,,,,,,,,CZE,SWE,J. Vesely,F. Skugor,CZE,CRO
2018-ausopen-MD131,2018,ausopen,MD131,R. Albot,J. Erlich,,,,,,,,,MDA,ISR,H. Chung,D. Nestor,KOR,CAN
2018-ausopen-MD132,2018,ausopen,MD132,D. Dzumhur,H. Kontinen,,,,,,,,,BIH,FIN,D. Lajovic,J. Peers,SRB,AUS
