match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2,nation_partner1,nation_partner2
2018-frenchopen-MD101,2018,frenchopen,MD101,L. Kubot,M. Cecchinato,,,,,,,,,POL,ITA,M. Melo,M. Fucsovics,BRA,HUN
2018-frenchopen-MD102,2018,frenchopen,MD102,R. Carballes Baena,S. Bolelli,,,,,,,,,ESP,ITA,G. Garcia-Lopez,F. Fognini,ESP,ITA
2018-frenchopen-MD103,2018,frenchopen,MD103,S. Lipsky,B. Bonzi,,,,,,,,,USA,FRA,T. Sandgren,G. Jacq,USA,FRA
2018-frenchopen-MD104,2018,frenchopen,MD104,T. Fritz,R. Bopanna,,,,,,,,,USA,IND,F. Tiafoe,E. Roger-Vasselin,USA,FRA
2018-frenchopen-MD105,2018,frenchopen,MD105,R. Klaasen,C. Denolly,,,,,,,,,RSA,FRA,M. Venus,A. Muller,NZL,FRA
2018-frenchopen-MD106,2018,frenchopen,MD106,D. Marrero,J. Eysseric,,,,,,,,,ESP,FRA,F. Verdasco,H. Nys,ESP,FRA
2018-frenchopen-MD107,2018,frenchopen,MD107,N. Basilashvili,F. Lakat,,,,,,,,,GEO,FRA,J. Millman,A. Rinderknech,AUS,FRA
2018-frenchopen-MD108,2018,frenchopen,MD108,D. Inglot,N. Mektic,,,,,,,,,GBR,CRO,F. Skugor,A. Peya,CRO,AUT
2018-frenchopen-MD109,2018,frenchopen,MD109,J. Murray,D. Lajovic,,,,,,,,,GBR,SRB,B. Soares,F. Mayer,BRA,GER
2018-frenchopen-MD110,2018,frenchopen,MD110,M. Gonzalez,P. Lorenzi,,,,,,,,,ARG,ITA,N. Jarry,M. Zverev,CHI,GER
2018-frenchopen-MD111,2018,frenchopen,MD111,C. Hemery,M. Ebden,,,,,,,,,FRA,AUS,S. Robert,D. Young,FRA,USA
2018-frenchopen-MD112,2018,frenchopen,MD112,H. Gaston,J. Peralta,,,,,,,,,FRA,CHI,C. Tabur,H. Zeballos,FRA,ARG
2018-frenchopen-MD113,2018,frenchopen,MD113,P. Cuevas,J. Chardy,,,,,,,,,URU,FRA,M. Granollers,D. Nestor,ESP,CAN
2018-frenchopen-MD114,2018,frenchopen,MD114,S. Johnson,N. Monroe,,,,,,,,,USA,USA,J. Sock,J. Smith,USA,AUS
2018-frenchopen-MD115,2018,frenchopen,MD115,R. Haase,Y. Nishioka,,,,,,,,,NED,JPN,M. Middelkoop,Y. Sugita,NED,JPN
2018-frenchopen-MD116,2018,frenchopen,MD116,R. Lindstedt,P. Herbert,,,,,,,,,SWE,FRA,M. Matkowski,N. Mahut,POL,FRA
2018-frenchopen-MD117,2018,frenchopen,MD117,A. Qureshi,E. Donskoy,,,,,,,,,PAK,RUS,J. Rojer,M. Reyes-Varela,NED,MEX
2018-frenchopen-MD118,2018,frenchopen,MD118,G. Blancaneaux,L. Mayer,,,,,,,,,FRA,ARG,C. Lestienne,J. Sousa,FRA,POR
2018-frenchopen-MD119,2018,frenchopen,MD119,R. Jebavy,M. Demoliner,,,,,,,,,CZE,BRA,A. Vasilevski,S. Gonzalez,BLR,MEX
2018-frenchopen-MD120,2018,frenchopen,MD120,G. Duran,F. Lopez,,,,,,,,,ARG,ESP,A. Molteni,M. Lopez,ARG,ESP
2018-frenchopen-MD121,2018,frenchopen,MD121,M. Bryan,K. Skupski,,,,,,,,,USA,GBR,S. Querrey,N. Skupski,USA,GBR
2018-frenchopen-MD122,2018,frenchopen,MD122,M. Marterer,D. Bracciali,,,,,,,,,GER,ITA,P. Petzschner,A. Seppi,GER,ITA
2018-frenchopen-MD123,2018,frenchopen,MD123,M. Basic,A. Ramos-Vinolas,,,,,,,,,BIH,ESP,D. Dzumhur,J. Vesely,BIH,CZE
2018-frenchopen-MD124,2018,frenchopen,MD124,I. Ivashka,H. Kontinen,,,,,,,,,BLR,FIN,K. Khachanov,J. Peers,RUS,AUS
