match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
2018-usopen-1101,2018,usopen,1101,Rafael Nadal,David Ferrer,,,,,,,,,,
2018-usopen-1105,2018,usopen,1105,Jack Sock,Guido Andreozzi,,,,,,,,,,
2018-usopen-1108,2018,usopen,1108,Paolo Lorenzi,Kyle Edmund,,,,,,,,,,
2018-usopen-1109,2018,usopen,1109,Dominic Thiem,Mirza Basic,,,,,,,,,,
2018-usopen-1111,2018,usopen,1111,Mischa Zverev,Taylor Fritz,,,,,,,,,,
2018-usopen-1113,2018,usopen,1113,Denis Shapovalov,Felix Auger Aliassime,,,,,,,,,,
2018-usopen-1114,2018,usopen,1114,Sam Querrey,Andreas Seppi,,,,,,,,,,
2018-usopen-1116,2018,usopen,1116,Ryan Harrison,Kevin Anderson,,,,,,,,,,
2018-usopen-1117,2018,usopen,1117,Juan Martin Del Potro,Donald Young,,,,,,,,,,
2018-usopen-1119,2018,usopen,1119,Andy Murray,James Duckworth,,,,,,,,,,
2018-usopen-1125,2018,usopen,1125,John Isner,Bradley Klahn,,,,,,,,,,
2018-usopen-1127,2018,usopen,1127,Cameron Norrie,Jordan Thompson,,,,,,,,,,
2018-usopen-1129,2018,usopen,1129,Milos Raonic,Carlos Berlocq,,,,,,,,,,
2018-usopen-1132,2018,usopen,1132,Stan Wawrinka,Grigor Dimitrov,,,,,,,,,,
2018-usopen-1133,2018,usopen,1133,Marin Cilic,Marius Copil,,,,,,,,,,
2018-usopen-1135,2018,usopen,1135,Alex de Minaur,Taro Daniel,,,,,,,,,,
2018-usopen-1136,2018,usopen,1136,Frances Tiafoe,Adrian Mannarino,,,,,,,,,,
2018-usopen-1137,2018,usopen,1137,Marco Cecchinato,Julien Benneteau,,,,,,,,,,
2018-usopen-1141,2018,usopen,1141,Diego Schwartzman,Federico Delbonis,,,,,,,,,,
2018-usopen-1143,2018,usopen,1143,Facundo Bagnis,Gael Monfils,,,,,,,,,,
2018-usopen-1144,2018,usopen,1144,Maximilian Marterer,Kei Nishikori,,,,,,,,,,
2018-usopen-1148,2018,usopen,1148,Peter Polansky,Alexander Zverev,,,,,,,,,,
2018-usopen-1149,2018,usopen,1149,Novak Djokovic,Marton Fucsovics,,,,,,,,,,
2018-usopen-1152,2018,usopen,1152,Yuichi Sugita,Richard Gasquet,,,,,,,,,,
2018-usopen-1157,2018,usopen,1157,Fabio Fognini,Michael Mmoh,,,,,,,,,,
2018-usopen-1160,2018,usopen,1160,Ricardas Berankis,Hyeon Chung,,,,,,,,,,
2018-usopen-1161,2018,usopen,1161,Nick Kyrgios,Radu Albot,,,,,,,,,,
2018-usopen-1164,2018,usopen,1164,Yoshihito Nishioka,Roger Federer,,,,,,,,,,
2018-usopen-1201,2018,usopen,1201,Rafael Nadal,Vasek Pospisil,,,,,,,,,,
