match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2
2019-usopen-3101,2019,usopen,3101,Juan Sebastian Cabal,Pablo Cuevas,,,,,,,,,,,Robert Farah,Steve Johnson
2019-usopen-3103,2019,usopen,3103,Pablo Carreno Busta,Cheng Peng Hsieh,,,,,,,,,,,Feliciano Lopez,Christopher Rungkat
2019-usopen-3104,2019,usopen,3104,Roman Jebavy,Robin Haase,,,,,,,,,,,Matwe Middelkoop,Wesley Koolhof
2019-usopen-3106,2019,usopen,3106,Luke Bambridge,Thai Son Kwiatkowski,,,,,,,,,,,Ben McLachlan,Noah Rubin
2019-usopen-3108,2019,usopen,3108,Jeremy Chardy,Jean Julien Rojer,,,,,,,,,,,Fabrice Martin,Horia Tecau
2019-usopen-3109,2019,usopen,3109,Pierre Hugues Herbert,Rohan Bopanna,,,,,,,,,,,Nicolas Mahut,Denis Shapovalov
2019-usopen-3110,2019,usopen,3110,Marco Cecchinato,Pablo Andujar,,,,,,,,,,,Andreas Seppi,Fernando Verdasco
2019-usopen-3111,2019,usopen,3111,Ricardas Berankis,Maxime Cressy,,,,,,,,,,,Juan Ignacio Londero,Keegan Smith
2019-usopen-3112,2019,usopen,3112,Robert Galloway,Jamie Murray,,,,,,,,,,,Nathaniel Lammons,Neal Skupski
2019-usopen-3113,2019,usopen,3113,Ivan Dodig,Jack Sock,,,,,,,,,,,Filip Polasek,Jackson Withrow
2019-usopen-3115,2019,usopen,3115,Hugo Nys,Roberto Carballes Baena,,,,,,,,,,,Divij Sharan,Federico Delbonis
2019-usopen-3116,2019,usopen,3116,Hubert Hurkacz,Bob Bryan,,,,,,,,,,,Vasek Pospisil,Mike Bryan
2019-usopen-3117,2019,usopen,3117,Marcel Granollers,Sander Gille,,,,,,,,,,,Horacio Zeballos,Joran Vliegen
2019-usopen-3119,2019,usopen,3119,Guido Pella,Alex de Minaur,,,,,,,,,,,Diego Schwartzman,Matt Reid
2019-usopen-3120,2019,usopen,3120,Ryan Harrison,Rajeev Ram,,,,,,,,,,,Sam Querrey,Joe Salisbury
2019-usopen-3121,2019,usopen,3121,Oliver Marach,Mikhail Kukushkin,,,,,,,,,,,Jurgen Melzer,Andrey Rublev
2019-usopen-3122,2019,usopen,3122,Marcus Daniell,Marius Copil,,,,,,,,,,,Ken Skupski,Nick Kyrgios
2019-usopen-3124,2019,usopen,3124,Adrian Mannarino,Raven Klaasen,,,,,,,,,,,Gilles Simon,Michael Venus
2019-usopen-3125,2019,usopen,3125,Mate Pavic,Cristian Garin,,,,,,,,,,,Bruno Soares,Nicolas Jarry
2019-usopen-3126,2019,usopen,3126,Marcelo Arevalo,Benoit Paire,,,,,,,,,,,Jonny O'Mara,Mischa Zverev
2019-usopen-3127,2019,usopen,3127,Mitchell Krueger,Martin Damm,,,,,,,,,,,Tim Smyczek,Toby Alex Kodat
2019-usopen-3128,2019,usopen,3128,Marcelo Demoliner,Kevin Krawietz,,,,,,,,,,,Dominic Inglot,Andreas Mies
2019-usopen-3129,2019,usopen,3129,Henri Kontinen,Santiago Gonzalez,,,,,,,,,,,John Peers,Aisam Ul Haq Qureshi
2019-usopen-3132,2019,usopen,3132,Denys Molchanov,Lukasz Kubot,,,,,,,,,,,Artem Sitak,Marcelo Melo
2019-usopen-3201,2019,usopen,3201,Juan Sebastian Cabal,Daniel Evans,,,,,,,,,,,Robert Farah,Cameron Norrie
2019-usopen-3202,2019,usopen,3202,Pablo Carreno Busta,Robin Haase,,,,,,,,,,,Feliciano Lopez,Wesley Koolhof
2019-usopen-3203,2019,usopen,3203,Nikola Mektic,Luke Bambridge,,,,,,,,,,,Franko Skugor,Ben McLachlan
2019-usopen-3206,2019,usopen,3206,Ricardas Berankis,Jamie Murray,,,,,,,,,,,Juan Ignacio Londero,Neal Skupski
2019-usopen-3207,2019,usopen,3207,Jack Sock,Austin Krajicek,,,,,,,,,,,Jackson Withrow,Edouard Roger Vasselin
2019-usopen-3208,2019,usopen,3208,Roberto Carballes Baena,Bob Bryan,,,,,,,,,,,Federico Delbonis,Mike Bryan
2019-usopen-3209,2019,usopen,3209,Marcel Granollers,Evan King,,,,,,,,,,,Horacio Zeballos,Hunter Reese
2019-usopen-3210,2019,usopen,3210,Alex de Minaur,Rajeev Ram,,,,,,,,,,,Matt Reid,Joe Salisbury
2019-usopen-3212,2019,usopen,3212,Miomir Kecmanovic,Raven Klaasen,,,,,,,,,,,Casper Ruud,Michael Venus
2019-usopen-3214,2019,usopen,3214,Martin Damm,Kevin Krawietz,,,,,,,,,,,Toby Alex Kodat,Andreas Mies
2019-usopen-3215,2019,usopen,3215,Henri Kontinen,Leonardo Mayer,,,,,,,,,,,John Peers,Joao Sousa
2019-usopen-3216,2019,usopen,3216,Jozef Kovalik,Lukasz Kubot,,,,,,,,,,,Albert Ramos Vinolas,Marcelo Melo
2019-usopen-3301,2019,usopen,3301,Juan Sebastian Cabal,Robin Haase,,,,,,,,,,,Robert Farah,Wesley Koolhof
2019-usopen-3304,2019,usopen,3304,Jack Sock,Bob Bryan,,,,,,,,,,,Jackson Withrow,Mike Bryan
2019-usopen-3305,2019,usopen,3305,Marcel Granollers,Rajeev Ram,,,,,,,,,,,Horacio Zeballos,Joe Salisbury
2019-usopen-3306,2019,usopen,3306,Oliver Marach,Miomir Kecmanovic,,,,,,,,,,,Jurgen Melzer,Casper Ruud
2019-usopen-3307,2019,usopen,3307,Marcelo Arevalo,Kevin Krawietz,,,,,,,,,,,Jonny O'Mara,Andreas Mies
2019-usopen-3308,2019,usopen,3308,Leonardo Mayer,Lukasz Kubot,,,,,,,,,,,Joao Sousa,Marcelo Melo
2019-usopen-3401,2019,usopen,3401,Juan Sebastian Cabal,Luke Bambridge,,,,,,,,,,,Robert Farah,Ben McLachlan
2019-usopen-3402,2019,usopen,3402,Jamie Murray,Jack Sock,,,,,,,,,,,Neal Skupski,Jackson Withrow
2019-usopen-3403,2019,usopen,3403,Marcel Granollers,Oliver Marach,,,,,,,,,,,Horacio Zeballos,Jurgen Melzer
