match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2
2019-wimbledon-5102,2019,wimbledon,5102,Denys Molchanov,Jurgen Melzer,,,,,,,,,,,Galina Voskoboeva,Anastasia Pavlyuchenkova
2019-wimbledon-5103,2019,wimbledon,5103,Andy Murray,Andreas Mies,,,,,,,,,,,Serena Williams,Alexa Guarachi
2019-wimbledon-5106,2019,wimbledon,5106,Jonny O'Mara,Matwe Middelkoop,,,,,,,,,,,Naomi Broady,Zhaoxuan Yang
2019-wimbledon-5107,2019,wimbledon,5107,Nick Kyrgios,Marcus Daniell,,,,,,,,,,,Desirae Krawczyk,Jennifer Brady
2019-wimbledon-5110,2019,wimbledon,5110,Marcelo Demoliner,Henri Kontinen,,,,,,,,,,,Abigail Spears,Heather Watson
2019-wimbledon-5111,2019,wimbledon,5111,Robert Lindstedt,Jay Clarke,,,,,,,,,,,Jelena Ostapenko,Cori Gauff
2019-wimbledon-5114,2019,wimbledon,5114,Scott Clayton,Frances Tiafoe,,,,,,,,,,,Sarah Beth Grey,Venus Williams
2019-wimbledon-5115,2019,wimbledon,5115,Christopher Rungkat,Nicolas Mahut,,,,,,,,,,,Shuko Aoyama,Alize Cornet
2019-wimbledon-5118,2019,wimbledon,5118,Kevin Krawietz,Philipp Oswald,,,,,,,,,,,Sabrina Santamaria,Monique Adamczak
2019-wimbledon-5119,2019,wimbledon,5119,Santiago Gonzalez,Aisam Ul Haq Qureshi,,,,,,,,,,,Xinyun Han,Nadiia Kichenok
2019-wimbledon-5122,2019,wimbledon,5122,Artem Sitak,Ken Skupski,,,,,,,,,,,Laura Siegemund,Darija Jurak
2019-wimbledon-5123,2019,wimbledon,5123,Jamie Murray,Joe Salisbury,,,,,,,,,,,Bethanie Mattek Sands,Katy Dunne
2019-wimbledon-5126,2019,wimbledon,5126,Ben McLachlan,Cheng Peng Hsieh,,,,,,,,,,,Miyu Kato,Su Wei Hsieh
2019-wimbledon-5127,2019,wimbledon,5127,Rajeev Ram,Luke Bambridge,,,,,,,,,,,Alison Riske,Asia Muhammad
2019-wimbledon-5130,2019,wimbledon,5130,Leander Paes,Evan Hoyt,,,,,,,,,,,Samantha Stosur,Eden Silva
2019-wimbledon-5131,2019,wimbledon,5131,Frederik Nielsen,Joran Vliegen,,,,,,,,,,,Kaitlyn Christian,Saisai Zheng
2019-wimbledon-5201,2019,wimbledon,5201,Bruno Soares,Denys Molchanov,,,,,,,,,,,Nicole Melichar,Galina Voskoboeva
2019-wimbledon-5202,2019,wimbledon,5202,Andy Murray,Fabrice Martin,,,,,,,,,,,Serena Williams,Raquel Atawo
2019-wimbledon-5203,2019,wimbledon,5203,Neal Skupski,Matwe Middelkoop,,,,,,,,,,,Hao Ching Chan,Zhaoxuan Yang
2019-wimbledon-5205,2019,wimbledon,5205,John Peers,Henri Kontinen,,,,,,,,,,,Shuai Zhang,Heather Watson
2019-wimbledon-5206,2019,wimbledon,5206,Robert Lindstedt,Andres Molteni,,,,,,,,,,,Jelena Ostapenko,Makoto Ninomiya
2019-wimbledon-5207,2019,wimbledon,5207,Franko Skugor,Frances Tiafoe,,,,,,,,,,,Raluca Olaru,Venus Williams
2019-wimbledon-5208,2019,wimbledon,5208,Christopher Rungkat,Nikola Mektic,,,,,,,,,,,Shuko Aoyama,Alicja Rosolska
2019-wimbledon-5209,2019,wimbledon,5209,Wesley Koolhof,Philipp Oswald,,,,,,,,,,,Kveta Peschke,Monique Adamczak
2019-wimbledon-5210,2019,wimbledon,5210,Aisam Ul Haq Qureshi,Michael Venus,,,,,,,,,,,Nadiia Kichenok,Katarina Srebotnik
2019-wimbledon-5211,2019,wimbledon,5211,Rohan Bopanna,Artem Sitak,,,,,,,,,,,Aryna Sabalenka,Laura Siegemund
2019-wimbledon-5212,2019,wimbledon,5212,Jamie Murray,Mate Pavic,,,,,,,,,,,Bethanie Mattek Sands,Gabriela Dabrowski
2019-wimbledon-5213,2019,wimbledon,5213,Ivan Dodig,Cheng Peng Hsieh,,,,,,,,,,,Latisha Chan,Su Wei Hsieh
2019-wimbledon-5214,2019,wimbledon,5214,Luke Bambridge,Edouard Roger Vasselin,,,,,,,,,,,Asia Muhammad,Andreja Klepac
2019-wimbledon-5215,2019,wimbledon,5215,Divij Sharan,Evan Hoyt,,,,,,,,,,,Yingying Duan,Eden Silva
2019-wimbledon-5216,2019,wimbledon,5216,Joran Vliegen,Jean Julien Rojer,,,,,,,,,,,Saisai Zheng,Demi Schuurs
2019-wimbledon-5301,2019,wimbledon,5301,Bruno Soares,Andy Murray,,,,,,,,,,,Nicole Melichar,Serena Williams
2019-wimbledon-5302,2019,wimbledon,5302,Matwe Middelkoop,Marcus Daniell,,,,,,,,,,,Zhaoxuan Yang,Jennifer Brady
2019-wimbledon-5303,2019,wimbledon,5303,John Peers,Robert Lindstedt,,,,,,,,,,,Shuai Zhang,Jelena Ostapenko
2019-wimbledon-5304,2019,wimbledon,5304,Franko Skugor,Nikola Mektic,,,,,,,,,,,Raluca Olaru,Alicja Rosolska
2019-wimbledon-5305,2019,wimbledon,5305,Wesley Koolhof,Aisam Ul Haq Qureshi,,,,,,,,,,,Kveta Peschke,Nadiia Kichenok
2019-wimbledon-5306,2019,wimbledon,5306,Artem Sitak,Mate Pavic,,,,,,,,,,,Laura Siegemund,Gabriela Dabrowski
2019-wimbledon-5307,2019,wimbledon,5307,Ivan Dodig,Edouard Roger Vasselin,,,,,,,,,,,Latisha Chan,Andreja Klepac
2019-wimbledon-5308,2019,wimbledon,5308,Evan Hoyt,Joran Vliegen,,,,,,,,,,,Eden Silva,Saisai Zheng
2019-wimbledon-5401,2019,wimbledon,5401,Bruno Soares,Matwe Middelkoop,,,,,,,,,,,Nicole Melichar,Zhaoxuan Yang
2019-wimbledon-5402,2019,wimbledon,5402,Robert Lindstedt,Franko Skugor,,,,,,,,,,,Jelena Ostapenko,Raluca Olaru
2019-wimbledon-5403,2019,wimbledon,5403,Wesley Koolhof,Artem Sitak,,,,,,,,,,,Kveta Peschke,Laura Siegemund
2019-wimbledon-5404,2019,wimbledon,5404,Ivan Dodig,Evan Hoyt,,,,,,,,,,,Latisha Chan,Eden Silva
2019-wimbledon-5501,2019,wimbledon,5501,Matwe Middelkoop,Robert Lindstedt,,,,,,,,,,,Zhaoxuan Yang,Jelena Ostapenko
2019-wimbledon-5502,2019,wimbledon,5502,Wesley Koolhof,Ivan Dodig,,,,,,,,,,,Kveta Peschke,Latisha Chan
2019-wimbledon-5601,2019,wimbledon,5601,Robert Lindstedt,Ivan Dodig,,,,,,,,,,,Jelena Ostapenko,Latisha Chan
