match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2,nation_partner1,nation_partner2
2021-ausopen-XD101,2021,ausopen,XD101,B Strycova,H Carter,,,,,,,,,,,N  Mektic,S  Gille,,
2021-ausopen-XD102,2021,ausopen,XD102,I Swiatek,A Sharma,,,,,,,,,,,L  Kubot,J  Smith,,
2021-ausopen-XD103,2021,ausopen,XD103,S Stosur,E Rybakina,,,,,,,,,,,M  Ebden,A  Bublik,,
2021-ausopen-XD104,2021,ausopen,XD104,J Ostapenko,L Stefani,,,,,,,,,,,M  Middelkoop,B  Soares,,
2021-ausopen-XD105,2021,ausopen,XD105,H Chan,D Krawczyk,,,,,,,,,,,J  Cabal,J  Salisbury,,
2021-ausopen-XD106,2021,ausopen,XD106,Y Xu,V Zvonareva,,,,,,,,,,,M  Gonzalez,M  Melo,,
2021-ausopen-XD107,2021,ausopen,XD107,B Woolcock,A Klepac,,,,,,,,,,,J  Peers,N  Skupski,,
2021-ausopen-XD108,2021,ausopen,XD108,L Hradecka,L Chan,,,,,,,,,,,F  Polasek,I  Dodig,,
2021-ausopen-XD109,2021,ausopen,XD109,B Krejcikova,Y Shvedova,,,,,,,,,,,R  Ram,H  Kontinen,,
2021-ausopen-XD110,2021,ausopen,XD110,L Siegemund,E Shibahara,,,,,,,,,,,K  Krawietz,B  Mclachlan,,
2021-ausopen-XD111,2021,ausopen,XD111,B Mattek-Sands,Y Duan,,,,,,,,,,,J  Murray,R  Bopanna,,
2021-ausopen-XD112,2021,ausopen,XD112,I Popovic,G Dabrowski,,,,,,,,,,,A  Vukic,M  Pavic,,
2021-ausopen-XD113,2021,ausopen,XD113,D Schuurs,S Sanders,,,,,,,,,,,W  Koolhof,M  Polmans,,
2021-ausopen-XD114,2021,ausopen,XD114,E Perez,A Muhammad,,,,,,,,,,,A  Harris,L  Saville,,
2021-ausopen-XD115,2021,ausopen,XD115,A Rodionova,A Guarachi,,,,,,,,,,,M  Purcell,M  Venus,,
2021-ausopen-XD116,2021,ausopen,XD116,C Dolehide,N Melichar,,,,,,,,,,,F  Martin,R  Farah,,
2021-ausopen-XD201,2021,ausopen,XD201,H Carter,I Swiatek,,,,,,,,,,,S  Gille,L  Kubot,,
2021-ausopen-XD202,2021,ausopen,XD202,S Stosur,L Stefani,,,,,,,,,,,M  Ebden,B  Soares,,
2021-ausopen-XD203,2021,ausopen,XD203,D Krawczyk,V Zvonareva,,,,,,,,,,,J  Salisbury,M  Melo,,
2021-ausopen-XD204,2021,ausopen,XD204,A Klepac,L Hradecka,,,,,,,,,,,N  Skupski,F  Polasek,,
2021-ausopen-XD205,2021,ausopen,XD205,B Krejcikova,E Shibahara,,,,,,,,,,,R  Ram,B  Mclachlan,,
2021-ausopen-XD206,2021,ausopen,XD206,B Mattek-Sands,G Dabrowski,,,,,,,,,,,J  Murray,M  Pavic,,
2021-ausopen-XD207,2021,ausopen,XD207,S Sanders,E Perez,,,,,,,,,,,M  Polmans,A  Harris,,
2021-ausopen-XD208,2021,ausopen,XD208,A Rodionova,N Melichar,,,,,,,,,,,M  Purcell,R  Farah,,
2021-ausopen-XD301,2021,ausopen,XD301,H Carter,S Stosur,,,,,,,,,,,S  Gille,M  Ebden,,
2021-ausopen-XD302,2021,ausopen,XD302,D Krawczyk,A Klepac,,,,,,,,,,,J  Salisbury,N  Skupski,,
2021-ausopen-XD303,2021,ausopen,XD303,B Krejcikova,G Dabrowski,,,,,,,,,,,R  Ram,M  Pavic,,
2021-ausopen-XD304,2021,ausopen,XD304,S Sanders,A Rodionova,,,,,,,,,,,M  Polmans,M  Purcell,,
2021-ausopen-XD401,2021,ausopen,XD401,S Stosur,D Krawczyk,,,,,,,,,,,M  Ebden,J  Salisbury,,
2021-ausopen-XD402,2021,ausopen,XD402,B Krejcikova,S Sanders,,,,,,,,,,,R  Ram,M  Polmans,,
2021-ausopen-XD501,2021,ausopen,XD501,S Stosur,B Krejcikova,,,,,,,,,,,M  Ebden,R  Ram,,
