match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2021-usopen-3101,0:00:00,1,0,0,0,1,0,0X,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:00:00,1,0,0,0,1,0,0Y,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:00:00,1,0,0,0,1,0,1,2,3,149,,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32430,93,0,0,1,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:00:37,1,0,0,0,1,0,2,2,3,193,,0,30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11430,120,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:00:59,1,0,0,0,1,0,3,1,3,188,,15,30,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,33000,117,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:01:17,1,0,0,0,1,0,4,2,3,156,,15,40,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31030,97,0,0,1,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:02:06,1,0,1,0,1,2,5,2,3,141,,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,31431,88,0,1,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:03:13,1,0,1,0,2,0,6,1,2,185,,15,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,115,0,0,2,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:03:35,1,0,1,0,2,0,7,1,2,206,,30,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,128,0,0,2,,,,,,,1,0,F,0.000,0.000,2,,,
2021-usopen-3101,0:04:01,1,0,1,0,2,0,8,1,2,172,,40,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,107,0,0,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:04:36,1,0,1,0,2,0,9,2,2,193,,40,15,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,12030,120,1,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:04:56,1,1,1,0,2,1,10,1,2,207,,0,0,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,32011,129,1,0,1,,,,,,,1,0,B,0.000,0.000,2,,,
2021-usopen-3101,0:05:28,1,1,1,0,3,0,11,2,1,167,,0,15,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31520,104,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:05:55,1,1,1,0,3,0,12,2,1,131,,0,30,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22010,82,0,0,1,,,,,,,2,0,B,0.000,0.000,4,,,
2021-usopen-3101,0:06:29,1,1,1,0,3,0,13,1,1,168,,15,30,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,105,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:06:50,1,1,1,0,3,0,14,2,1,138,,15,40,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42010,86,0,0,1,,,,,,,1,0,B,0.000,0.000,2,,,
2021-usopen-3101,0:07:33,1,1,1,0,3,0,15,1,1,156,,30,40,9,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,14000,97,0,1,1,,,,,,,1,S,0,0.000,0.000,1,,,
2021-usopen-3101,0:07:56,1,1,2,0,3,2,16,2,1,136,,0,0,7,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,41011,85,0,1,2,,,,,,,2,0,F,0.000,0.000,4,,,
2021-usopen-3101,0:09:48,1,1,2,0,4,0,17,1,4,140,,15,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22430,87,0,0,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:10:23,1,1,2,0,4,0,18,2,4,181,,15,15,8,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22410,113,0,0,2,,,,,,,1,0,B,0.000,0.000,3,,,
2021-usopen-3101,0:10:45,1,1,2,0,4,0,19,1,4,172,,30,15,10,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32410,107,0,0,2,,,,,,,2,0,B,0.000,0.000,4,,,
2021-usopen-3101,0:11:28,1,1,2,0,4,0,20,1,4,159,,40,15,12,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32410,99,0,0,2,,,,,,,2,0,B,0.000,0.000,4,,,
2021-usopen-3101,0:12:08,1,1,2,0,4,0,21,2,4,197,,40,30,12,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,21510,123,1,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:12:34,1,1,2,0,4,0,22,2,4,170,,40,40,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,11030,106,1,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:13:11,1,1,2,0,4,0,23,1,4,183,,AD,40,13,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12410,114,0,0,2,,,,,,,1,0,B,0.000,0.000,4,,,
2021-usopen-3101,0:13:43,1,1,2,0,4,0,24,2,4,183,,40,40,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,11030,114,1,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:14:09,1,1,2,0,4,0,25,2,4,168,,40,AD,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32030,105,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:14:37,1,1,2,0,4,0,26,1,4,0,,40,40,11,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,45000,0,0,0,2,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:15:12,1,1,2,0,4,0,27,2,4,165,,40,AD,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21410,103,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:16:19,1,1,3,0,4,2,28,2,4,172,,0,0,11,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22412,107,0,0,1,,,,,,,1,0,B,0.000,0.000,3,,,
2021-usopen-3101,0:16:50,1,1,3,0,5,0,29,2,3,196,,0,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31430,122,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:17:20,1,1,3,0,5,0,30,2,3,173,,0,30,8,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31020,108,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:17:47,1,1,3,0,5,0,31,1,3,188,,15,30,11,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,33000,117,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:18:04,1,1,3,0,5,0,32,2,3,165,,15,40,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31430,103,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:18:27,1,1,3,0,5,0,33,1,3,188,,30,40,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,21030,117,0,1,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:18:49,1,1,3,0,5,0,34,1,3,194,,40,40,13,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,34000,121,0,1,1,,,,,,,1,S,0,0.000,0.000,1,,,
2021-usopen-3101,0:19:33,1,1,3,0,5,0,35,1,3,152,,AD,40,13,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,95,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:20:02,1,1,3,0,5,0,36,2,3,0,,40,40,9,21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,35000,0,0,0,1,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:20:39,1,1,3,0,5,0,37,2,3,180,,40,AD,9,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41010,112,0,0,1,,,,,,,1,0,F,0.000,0.000,4,,,
2021-usopen-3101,0:21:10,1,1,4,0,5,2,38,2,3,152,,0,0,7,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,42011,95,0,1,2,,,,,,,2,0,B,0.000,0.000,2,,,
2021-usopen-3101,0:22:57,1,1,4,0,6,0,39,2,2,212,,0,15,7,32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,132,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:23:16,1,1,4,0,6,0,40,2,2,196,,0,30,7,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41510,122,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:23:35,1,1,4,0,6,0,41,2,2,189,,0,40,7,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,24000,118,0,0,2,,,,,,,1,S,0,0.000,0.000,1,,,
2021-usopen-3101,0:23:54,1,1,4,0,6,0,42,1,2,178,,15,40,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,111,0,0,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:24:31,1,1,4,0,6,0,43,1,2,164,,30,40,10,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12410,102,0,0,2,,,,,,,2,0,B,0.000,0.000,4,,,
2021-usopen-3101,0:25:07,1,1,5,0,6,2,44,2,2,189,,0,0,10,40,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23002,118,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:25:39,1,1,5,0,7,0,45,1,1,177,,15,0,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,110,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:25:58,1,1,5,0,7,0,46,1,1,135,,30,0,12,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42030,84,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:26:28,1,1,5,0,7,0,47,2,1,156,,30,15,10,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11420,97,0,0,1,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:27:00,1,1,5,0,7,0,48,1,1,170,,40,15,13,38,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,106,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:27:17,1,1,5,0,7,0,49,2,1,172,,40,30,13,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,107,0,0,1,,,,,,,1,0,F,0.000,0.000,2,,,
2021-usopen-3101,0:27:36,1,2,5,0,7,1,50,1,1,170,,0,0,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41032,106,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:29:09,1,2,5,0,8,0,51,1,4,160,,15,0,18,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32010,100,0,0,2,,,,,,,2,0,B,0.000,0.000,2,,,
2021-usopen-3101,0:29:48,1,2,5,0,8,0,52,2,4,186,,15,15,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,116,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:30:12,1,2,5,0,8,0,53,2,4,165,,15,30,17,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,44000,103,0,0,2,,,,,,,2,S,0,0.000,0.000,1,,,
2021-usopen-3101,0:30:48,1,2,5,0,8,0,54,2,4,165,,15,40,17,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41510,103,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:31:20,1,2,6,2,8,2,55,2,4,186,,0,0,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32033,116,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:33:20,2,0,0,0,1,0,56,1,3,180,,15,0,14,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,112,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:34:04,2,0,0,0,1,0,57,2,3,168,,15,15,12,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31420,105,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:34:31,2,0,0,0,1,0,58,1,3,160,,30,15,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,100,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:34:52,2,0,0,0,1,0,59,1,3,183,,40,15,15,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11410,114,0,0,1,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:35:13,2,0,0,0,1,0,60,2,1,154,,40,30,15,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21410,96,0,0,1,,,,,,,2,0,F,0.000,0.000,4,,,
2021-usopen-3101,0:36:00,2,1,0,0,1,1,61,1,3,196,,0,0,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41032,122,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:36:45,2,1,0,0,2,0,62,1,2,172,,15,0,18,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,41420,107,0,0,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:37:21,2,1,0,0,2,0,63,2,2,175,,15,15,17,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,109,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:37:52,2,1,0,0,2,0,64,2,2,186,,15,30,17,51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,116,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:38:11,2,1,0,0,2,0,65,2,2,173,,15,40,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12430,108,0,0,2,,,,,,,2,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:38:46,2,1,1,0,2,2,66,2,2,178,,0,0,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32032,111,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:39:51,2,1,1,0,3,0,67,1,1,162,,15,0,18,55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,101,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:40:09,2,1,1,0,3,0,68,1,1,144,,30,0,20,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31410,90,0,0,1,,,,,,,2,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:40:43,2,1,1,0,3,0,69,1,1,154,,40,0,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,96,0,0,1,,,,,,,2,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:41:21,2,2,1,0,3,1,70,1,1,165,,0,0,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42032,103,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:42:46,2,2,1,0,4,0,71,2,4,173,,0,15,23,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32030,108,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:43:08,2,2,1,0,4,0,72,2,4,175,,0,30,23,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21510,109,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:43:37,2,2,1,0,4,0,73,2,4,167,,0,40,23,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21410,104,0,0,2,,,,,,,2,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:44:10,2,2,2,0,4,2,74,2,4,201,,0,0,23,63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43002,125,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:44:57,2,2,2,0,5,0,75,2,3,178,,0,15,23,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41010,111,0,0,1,,,,,,,1,0,F,0.000,0.000,4,,,
2021-usopen-3101,0:45:24,2,2,2,0,5,0,76,2,3,0,,0,30,19,65,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,35000,0,0,0,1,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:45:57,2,2,2,0,5,0,77,1,3,183,,15,30,20,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,114,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:46:18,2,2,2,0,5,0,78,2,3,143,,15,40,19,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11430,89,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:46:49,2,2,3,0,5,2,79,2,3,0,,0,0,16,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,32431,0,0,1,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:48:30,2,2,3,0,6,0,80,2,2,178,,0,15,16,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42410,111,0,0,2,,,,,,,1,0,B,0.000,0.000,3,,,
2021-usopen-3101,0:49:09,2,2,3,0,6,0,81,2,2,173,,0,30,16,76,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,108,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:49:42,2,2,3,0,6,0,82,2,2,178,,0,40,16,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41510,111,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:50:31,2,2,4,0,6,2,83,2,2,188,,0,0,16,83,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23002,117,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:51:02,2,2,4,0,7,0,84,1,1,156,,15,0,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41430,97,0,0,1,,,,,,,2,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:51:35,2,2,4,0,7,0,85,1,1,148,,30,0,18,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41030,92,0,0,1,,,,,,,2,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:52:27,2,2,4,0,7,0,86,1,1,160,,40,0,20,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31510,100,0,0,1,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:52:46,2,3,4,0,7,1,87,1,1,168,,0,0,25,81,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13002,105,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:54:29,2,3,4,0,8,0,88,2,4,186,,0,15,25,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21410,116,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,0:54:54,2,3,4,0,8,0,89,1,4,186,,15,15,25,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,41420,116,0,0,2,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:55:23,2,3,4,0,8,0,90,2,4,188,,15,30,25,84,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43000,117,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:55:47,2,3,4,0,8,0,91,1,4,0,,30,30,25,80,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,45000,0,0,0,2,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:56:22,2,3,4,0,8,0,92,2,4,167,,30,40,24,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32030,104,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:56:59,2,3,5,0,8,2,93,2,4,160,,0,0,23,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31032,100,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-3101,0:57:50,2,3,5,0,9,0,94,1,3,151,,15,0,24,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,94,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:58:20,2,3,5,0,9,0,95,1,3,191,,30,0,25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42030,119,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,0:58:39,2,3,5,0,9,0,96,2,3,0,,30,15,21,82,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,35000,0,0,0,1,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-3101,0:59:10,2,3,5,0,9,0,97,2,3,189,,30,30,19,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11520,118,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,0:59:38,2,3,5,0,9,0,98,2,3,181,,30,40,17,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11420,113,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-3101,1:00:04,2,3,5,0,9,0,99,1,3,199,,40,40,18,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,41030,124,0,1,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,1:00:26,2,3,5,0,9,0,100,1,3,199,,AD,40,20,81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11510,124,0,0,1,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-3101,1:00:45,2,3,5,0,9,0,101,2,3,202,,40,40,20,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41010,126,0,0,1,,,,,,,1,0,F,0.000,0.000,2,,,
2021-usopen-3101,1:01:07,2,3,5,0,9,0,102,1,3,199,,AD,40,21,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,124,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-3101,1:01:54,2,4,5,0,9,1,103,1,3,180,,0,0,24,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42032,112,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
