match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2021-usopen-5101,0:00:00,1,0,0,0,1,0,0X,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-5101,0:00:00,1,0,0,0,1,0,0Y,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-5101,0:00:00,1,0,0,0,1,0,1,2,4,157,,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,98,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:00:21,1,0,0,0,1,0,2,2,4,194,,0,30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32030,121,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:00:39,1,0,0,0,1,0,3,2,4,177,,0,40,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43000,110,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:00:54,1,0,0,0,1,0,4,1,4,0,,15,40,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,45000,0,0,0,2,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-5101,0:01:25,1,0,1,0,1,2,5,2,4,151,,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21512,94,0,0,1,,,,,,,2,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:02:31,1,0,1,0,2,0,6,1,3,168,,15,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21430,105,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-5101,0:03:03,1,0,1,0,2,0,7,1,3,189,,30,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42030,118,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:03:31,1,0,1,0,2,0,8,1,3,180,,40,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32410,112,0,0,1,,,,,,,1,0,B,0.000,0.000,3,,,
2021-usopen-5101,0:03:59,1,1,1,0,2,1,9,1,3,152,,0,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31512,95,0,0,2,,,,,,,2,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:04:47,1,1,1,0,3,0,10,1,2,133,,15,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,83,0,0,2,,,,,,,2,0,B,0.000,0.000,2,,,
2021-usopen-5101,0:05:21,1,1,1,0,3,0,11,1,2,144,,30,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,90,0,0,2,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:05:41,1,1,1,0,3,0,12,2,2,135,,30,15,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,84,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:06:12,1,1,1,0,3,0,13,1,2,151,,40,15,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42430,94,0,0,2,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:06:45,1,1,1,0,3,0,14,2,2,159,,40,30,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,11030,99,1,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:07:11,1,1,1,0,3,0,15,2,2,154,,40,40,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,31030,96,1,0,2,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-5101,0:07:36,1,2,1,0,3,1,16,1,2,160,,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31411,100,0,0,1,,,,,,,1,0,F,0.000,0.000,4,,,
2021-usopen-5101,0:09:09,1,2,1,0,4,0,17,2,1,0,,0,15,10,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-5101,0:09:43,1,2,1,0,4,0,18,1,1,151,,15,15,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41030,94,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:10:05,1,2,1,0,4,0,19,1,1,177,,30,15,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31410,110,0,0,1,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:10:30,1,2,1,0,4,0,20,1,1,175,,40,15,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41030,109,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:10:59,1,3,1,0,4,1,21,1,1,156,,0,0,18,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31412,97,0,0,2,,,,,,,2,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:11:43,1,3,1,0,5,0,22,2,4,186,,0,15,18,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41510,116,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:12:07,1,3,1,0,5,0,23,2,4,191,,0,30,18,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42410,119,0,0,2,,,,,,,1,0,B,0.000,0.000,3,,,
2021-usopen-5101,0:12:27,1,3,1,0,5,0,24,2,4,181,,0,40,18,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43000,113,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:12:46,1,3,1,0,5,0,25,1,4,0,,15,40,18,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,45000,0,0,0,2,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-5101,0:13:13,1,3,1,0,5,0,26,1,4,191,,30,40,20,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,119,0,0,2,,,,,,,1,0,B,0.000,0.000,2,,,
2021-usopen-5101,0:13:33,1,3,2,0,5,2,27,2,4,189,,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32032,118,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:15:11,1,3,2,0,6,0,28,1,3,168,,15,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,105,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:15:37,1,3,2,0,6,0,29,1,3,191,,30,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22430,119,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-5101,0:16:08,1,3,2,0,6,0,30,1,3,191,,40,0,24,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,33000,119,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:16:30,1,4,2,0,6,1,31,1,3,189,,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42032,118,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:17:01,1,4,2,0,7,0,32,2,2,154,,0,15,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,96,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:17:20,1,4,2,0,7,0,33,1,2,115,,15,15,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,72,0,0,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:17:50,1,4,2,0,7,0,34,2,2,148,,15,30,25,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,92,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:18:21,1,4,2,0,7,0,35,2,2,135,,15,40,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31030,84,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:19:10,1,4,3,0,7,2,36,2,2,143,,0,0,24,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23002,89,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:20:41,1,4,3,0,8,0,37,2,1,140,,0,15,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32430,87,0,0,1,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:21:20,1,4,3,0,8,0,38,1,1,152,,15,15,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41030,95,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:22:12,1,4,3,0,8,0,39,2,1,0,,15,30,20,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,15000,0,0,0,1,,,,,,,0,0,0,0.000,0.000,0,,,
2021-usopen-5101,0:22:50,1,4,3,0,8,0,40,1,1,149,,30,30,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,93,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-5101,0:23:23,1,4,3,0,8,0,41,2,1,152,,30,40,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31430,95,0,0,1,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:24:05,1,4,4,0,8,2,42,2,1,130,,0,0,16,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,11021,81,0,1,2,,,,,,,2,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:24:51,1,4,4,0,9,0,43,1,2,165,,15,0,18,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,103,0,0,2,,,,,,,1,0,B,0.000,0.000,4,,,
2021-usopen-5101,0:25:16,1,4,4,0,9,0,44,2,4,172,,15,15,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31030,107,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:25:51,1,4,4,0,9,0,45,2,4,167,,15,30,17,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43000,104,0,0,2,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:26:26,1,4,4,0,9,0,46,2,4,178,,15,40,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32030,111,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:26:45,1,4,5,0,9,2,47,2,4,168,,0,0,16,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43002,105,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:28:51,1,4,5,0,10,0,48,1,3,177,,15,0,18,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11510,110,0,0,1,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:29:18,1,4,5,0,10,0,49,2,3,165,,15,15,18,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22010,103,0,0,1,,,,,,,2,0,B,0.000,0.000,4,,,
2021-usopen-5101,0:30:07,1,4,5,0,10,0,50,2,3,168,,15,30,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12430,105,0,0,1,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:30:38,1,4,5,0,10,0,51,1,3,183,,30,30,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41030,114,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:31:05,1,4,5,0,10,0,52,1,3,165,,40,30,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,103,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:31:31,1,5,5,0,10,1,53,1,3,175,,0,0,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41032,109,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:32:06,1,5,5,0,11,0,54,2,2,159,,0,15,22,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41410,99,0,0,2,,,,,,,1,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:32:36,1,5,5,0,11,0,55,2,2,148,,0,30,22,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22010,92,0,0,2,,,,,,,1,0,B,0.000,0.000,3,,,
2021-usopen-5101,0:33:03,1,5,5,0,11,0,56,2,2,157,,0,40,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,98,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:33:23,1,5,5,0,11,0,57,1,2,141,,15,40,21,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,88,0,0,2,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:33:55,1,5,5,0,11,0,58,1,2,156,,30,40,21,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,21020,97,0,0,2,,,,,,,1,0,0,0.000,0.000,2,,,
2021-usopen-5101,0:34:28,1,5,6,0,11,2,59,2,2,127,,0,0,19,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,32022,79,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:36:31,1,5,6,0,12,0,60,1,1,157,,15,0,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42430,98,0,0,1,,,,,,,1,0,0,0.000,0.000,3,,,
2021-usopen-5101,0:36:56,1,5,6,0,12,0,61,1,1,152,,30,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,42030,95,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:37:18,1,5,6,0,12,0,62,1,1,167,,40,0,24,26,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,104,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:37:38,1,6,6,0,12,1,63,1,1,143,,0,0,28,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,31412,89,0,0,2,,,,,,,2,0,F,0.000,0.000,3,,,
2021-usopen-5101,0:38:33,1,6,6,0,13,0,64,2,4,204,,0,1,28,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,43000,127,0,0,1,,,,,,,1,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:39:05,1,6,6,0,13,0,65,1,3,156,,1,1,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,41030,97,0,0,1,,,,,,,2,0,0,0.000,0.000,1,,,
2021-usopen-5101,0:39:54,1,6,6,0,13,0,66,1,3,152,,2,1,32,28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,33000,95,0,0,2,,,,,,,1,0,0,0.000,0.000,1,,,
