match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,partner1,partner2
2021-wimbledon-3101,2021,wimbledon,3101,Nikola Mektic,Jonathan Erlich,,,,,,,,,,,Mate Pavic,Andrei Vasilevski
2021-wimbledon-3102,2021,wimbledon,3102,Alex De Minaur,Luke Johnson,,,,,,,,,,,Matt Reid,Anton Matusevich
2021-wimbledon-3103,2021,wimbledon,3103,Tomislav Brkic,Egor Gerasimov,,,,,,,,,,,Nikola Cacic,Yoshihito Nishioka
2021-wimbledon-3104,2021,wimbledon,3104,Jay Clarke,Marcus Daniell,,,,,,,,,,,Marius Copil,Philipp Oswald
2021-wimbledon-3105,2021,wimbledon,3105,Wesley Koolhof,Lloyd Glasspool,,,,,,,,,,,Jean Julien Rojer,Harri Heliovaara
2021-wimbledon-3106,2021,wimbledon,3106,Roman Jebavy,Alastair Gray,,,,,,,,,,,Jiri Vesely,Aidan McHugh
2021-wimbledon-3107,2021,wimbledon,3107,Sander Arends,Andre Begemann,,,,,,,,,,,Matwe Middelkoop,Jurgen Melzer
2021-wimbledon-3108,2021,wimbledon,3108,Nathaniel Lammons,Lukasz Kubot,,,,,,,,,,,Jackson Withrow,Marcelo Melo
2021-wimbledon-3109,2021,wimbledon,3109,Juan Sebastian Cabal,Yen Hsun Lu,,,,,,,,,,,Robert Farah,David Pel
2021-wimbledon-3110,2021,wimbledon,3110,Alexander Bublik,Rafael Matos,,,,,,,,,,,Aleksandr Nedovyesov,Thiago Monteiro
2021-wimbledon-3111,2021,wimbledon,3111,Stuart Parker,Luke Bambridge,,,,,,,,,,,James Ward,Dominic Inglot
2021-wimbledon-3112,2021,wimbledon,3112,John Peers,Max Purcell,,,,,,,,,,,Jordan Thompson,Luke Saville
2021-wimbledon-3113,2021,wimbledon,3113,Tim Puetz,Matthew Ebden,,,,,,,,,,,Michael Venus,John Patrick Smith
2021-wimbledon-3114,2021,wimbledon,3114,Ariel Behar,Hugo Nys,,,,,,,,,,,Gonzalo Escobar,Jonny O'Mara
2021-wimbledon-3115,2021,wimbledon,3115,Radu Albot,Marton Fucsovics,,,,,,,,,,,Nikoloz Basilashvili,Stefano Travaglia
2021-wimbledon-3116,2021,wimbledon,3116,Laslo Djere,Rajeev Ram,,,,,,,,,,,Gianluca Mager,Joe Salisbury
2021-wimbledon-3117,2021,wimbledon,3117,Ivan Dodig,Norbert Gombos,,,,,,,,,,,Filip Polasek,Pedro Martinez
2021-wimbledon-3118,2021,wimbledon,3118,Petros Tsitsipas,Jaume Munar,,,,,,,,,,,Stefanos Tsitsipas,Cameron Norrie
2021-wimbledon-3119,2021,wimbledon,3119,Andre Goransson,Feliciano Lopez,,,,,,,,,,,Casper Ruud,Marc Lopez
2021-wimbledon-3120,2021,wimbledon,3120,Salvatore Caruso,Kevin Krawietz,,,,,,,,,,,Alejandro Davidovich Fokina,Horia Tecau
2021-wimbledon-3121,2021,wimbledon,3121,Sander Gille,Oliver Marach,,,,,,,,,,,Joran Vliegen,Aisam Ul Haq Qureshi
